标题,户型,户型1,房屋面积,楼层,小区,租赁类型,朝向,轨道交通,租金,地区
壹品世家 豪装舒适两房 周边配套齐全 随时看房 拎包即可入住,2室,2厅,92平米,10/14层,鑫苑壹品世家(东区),整租,南北,17号线,2600,qingpu安居客
朝南大次卧大阳台带电梯  阳光充足 干净卫生 免费看房,1室,1厅,32平米,13/29层,徐泾新区,整租,东南,无,2730,qingpu安居客
青浦新城蛋壳公寓直租 押一付一  交通便利拎包即住,3室,1厅,19平米,16/26层,中铁逸都(二期),合租,东南,17号线,1560,qingpu安居客
精装全配，生活便利，多房源可供挑选，随时带看,1室,1厅,23平米,7/23层,西郊一村,整租,东南,无,2240,qingpu安居客
香花桥清河湾佳苑好房出租 入住好礼 素质舍友 优惠多多,3室,1厅,24平米,7/22层,清河湾佳苑(二期),整租,东南,17号线,1700,qingpu安居客
仁恒西郊花园精装三室两厅两卫，业主刚出租，可以全配，随时看,3室,2厅,127平米,11/20层,仁恒西郊花园,整租,朝南,17号线,10500,qingpu安居客
出租 全明户型 有钥匙 随时住 两房 家具家电齐全,1室,1厅,22平米,17/25层,浩泽家园,整租,东南,17号线,2390,qingpu安居客
出租 全明户型 有钥匙 随时住 两房 家具家电齐全,3室,1厅,52平米,24/27层,春江三月公寓(二期),整租,朝南,无,3370,qingpu安居客
华中苑精装三室一厅大三房门口大菜场大超市公交,3室,1厅,90平米,9/18层,崧泽华城华中苑(二区),整租,南北,无,2700,qingpu安居客
华新精装电梯房，高品质服务，家具齐全，随时带看,3室,1厅,21平米,17/28层,凤溪家园,整租,东南,无,1610,qingpu安居客
青湖轩 温馨舒适二居室 家具家电齐全 随时看房 拎包入住,2室,2厅,88平米,10/18层,青湖轩,整租,南北,无,2200,qingpu安居客
地铁17号线汇金路站10分，精装修有照片，南北通，随时看房,2室,1厅,78平米,17/18层,崧泽华城佳福雅苑,整租,朝南,17号线,3400,qingpu安居客
3公里车程内可到达西华国际学校，德法学校，蒙特梭利幼儿园,4室,2厅,276平米,1/1层,圣地维拉,整租,南北,无,18000,qingpu安居客
17号地铁口，豪装2房，全进口家私，业主刚搬走，随时可以看房,2室,2厅,89平米,7/12层,锦绣逸庭(公寓),整租,南北,17号线,4500,qingpu安居客
原房东精装三房，装修奢华大气，南北通透，环境优美,3室,1厅,90平米,10/18层,崧泽华城佳福雅苑,整租,南北,17号线,3500,qingpu安居客
仁恒西郊花园，177平四房，1带车位1.4万，全配拎包入住,4室,2厅,177平米,10/20层,仁恒西郊花园,整租,南北,17号线,13000,qingpu安居客
蛋壳公寓 超享受！全新配置  一人一锁 安全巡查,3室,1厅,18平米,19/26层,徐泾北城馨浦苑(东区),合租,东南,17号线,1680,qingpu安居客
蛋壳公寓 全新配置房子可以租，生活不能将就！,3室,1厅,18平米,7/26层,新锦港花园,整租,东南,17号线,1360,qingpu安居客
青浦新城盈中新村南北通透 好格局 地段 急租,1室,1厅,29平米,22/29层,盈中新村,整租,东南,17号线,2970,qingpu安居客
华新恒文星尚湾舒适两房 干净整洁 急租 拎包入住,3室,1厅,17平米,16/23层,恒文星尚湾,合租,东南,无,1080,qingpu安居客
徐泾西郊家园好房出租，家具齐全，装修小清新，随时看房,3室,1厅,18平米,20/31层,西郊家园,整租,东南,2/17号线,1280,qingpu安居客
2号线 徐泾东 独栋别墅 近会展 近虹桥 适合办公+居住！,5室,3厅,385平米,1/2层,叠翠别墅,整租,朝南,无,10000,qingpu安居客
徐泾超出租 家具家电齐全 楼层低 价位低 交通便利,3室,1厅,22平米,6/28层,徐泾北城馨浦苑(西区),合租,东南,17号线,1860,qingpu安居客
原房东装修，无甲醛，地铁口，首，次出租，拎包入住,2室,1厅,69平米,13/18层,崧泽华城逸泰雅苑,整租,朝南,17号线,2850,qingpu安居客
青浦新城民乐佳苑二区精装修 欧洲现代风格 拎包入住,1室,1厅,32平米,6/22层,民乐佳苑二区,整租,东南,17号线,2560,qingpu安居客
入住减免2300 颜控福利 强迫症福利 温馨社区氛围 ,3室,1厅,19平米,10/27层,金地格林郡(金地格林世界),合租,东南,无,1560,qingpu安居客
上班累很辛苦？回我们的家 蛋壳公寓给你不一样的爱,3室,1厅,15平米,23/26层,盈中新村,整租,东南,17号线,1340,qingpu安居客
2号线地铁口！大虹桥核心区域！独栋别墅 拎包入住 随时看房,5室,2厅,320平米,1/3层,久事西郊花园,整租,南北,2号线,18000,qingpu安居客
地铁口精装2房，相当于1房的价格，卫生以打扫干净,2室,1厅,74平米,11/18层,崧泽华城逸泰雅苑,整租,南北,17号线,2700,qingpu安居客
虹桥宝龙城近地铁站，适合上班精装豪配，随时看房,3室,1厅,18平米,23/31层,虹桥宝龙广场,整租,东南,无,1740,qingpu安居客
徐泾春江三月公寓近地铁站小区采光好，南北通透，随时看房,1室,1厅,29平米,7/23层,春江三月公寓(二期),整租,东南,无,2180,qingpu安居客
近地铁 3+1户型！楼层位置佳，家具家电可配齐，看房有钥匙！,4室,2厅,176平米,5/11层,仁恒西郊花园,整租,朝南,17号线,15000,qingpu安居客
徐泾广虹公寓舒适两房 干净整洁 急租 拎包入住,1室,1厅,29平米,10/22层,广虹公寓,整租,东南,17号线,2610,qingpu安居客
五浦汇B区 精装三房 近复旦附属中学 吾悦广场 北极星广场,3室,1厅,80平米,11/18层,五浦汇崧子苑,整租,朝南,17号线,2700,qingpu安居客
湖畔佳苑 直通德法学校 中央空调地暖 精装修 拎包入住,4室,2厅,396平米,1/2层,湖畔佳苑(别墅),整租,南北,无,45000,qingpu安居客
近地铁站，适合上班精装豪配，随时看房,1室,1厅,30平米,12/24层,新锦港花园,整租,东南,17号线,2750,qingpu安居客
品味灵性生活  低调的奢华与张扬  深度的品质追求,3室,1厅,19平米,7/28层,葛洲坝绿城玉兰花园,合租,东南,17号线,1440,qingpu安居客
新豪华装修半年时间，家具家电全配，2号线徐泾东旁，德法学校！,5室,3厅,400平米,1/3层,久事西郊花园,整租,南北,2号线,25000,qingpu安居客
蛋壳公寓 让生存变成生活 全新配置  一人一锁,3室,1厅,20平米,22/28层,崧泽华城秀景苑(三期),合租,东南,17号线,1270,qingpu安居客
品质花园小区!本人实拍!近12号线 配套齐全 精装全配,2室,2厅,105平米,17/24层,长岛花苑,整租,南北,9号线,6000,pudong安居客
门口4/6号线地铁站 装修一年多 近仁济医院+软件园+金融广,2室,1厅,68平米,3/6层,塘东小区,整租,南北,4/6号线,5222,pudong安居客
便宜一房出租精装修一房一厅 看房有钥匙 浦电路4.6号线 急,1室,1厅,40平米,5/6层,潍坊一村,整租,朝南,4/6号线,3800,pudong安居客
近六号线云山站！品质小区广洋苑！精装全配！全明户型！诚租！！,3室,2厅,127平米,4/6层,广洋苑,整租,朝南,6/9号线,8400,pudong安居客
有卫生间洁癖的你，没关系！选择蛋壳公寓，给你超大空间自由发挥,1室,1厅,32平米,20/30层,竹南小区,整租,东南,2/4/6/9号线,2540,pudong安居客
"近浦东大道站4号线,房子真的很漂亮干净清爽,房东保养得很干净",2室,1厅,65平米,3/6层,梅园三村,整租,朝南,2/4号线,5300,pudong安居客
民生路 生安花苑 3室厅2卫 南,3室,0厅,21平米,10/17层,生安花苑,合租,朝南,6/9号线,4190,pudong安居客
唐镇唐丰苑小清新单间，整洁舒适家具齐全，离地铁站很近,3室,1厅,52平米,20/27层,唐丰苑,整租,朝南,无,3750,pudong安居客
潍坊九村 居家双南两房 房东诚心出租 可办租赁备案 价格好谈,2室,1厅,52平米,5/6层,潍坊九村,整租,南北,2/4/6/9号线,5400,pudong安居客
11号线三林站 精装朝南独立一室户 采光无敌 拎包入住随时看,1室,1厅,14平米,8/14层,三林新村,整租,南北,11号线,1200,pudong安居客
樟盛苑精装南北通三房 近广兰路站随时看房,2室,1厅,90平米,12/14层,樟盛苑,整租,朝南,2号线,6500,pudong安居客
精装二室一厅，婚房装修，之前自住，品牌家电，中间位置，可月付,2室,2厅,99平米,3/6层,凌三小区,整租,南北,无,5600,pudong安居客
入住减免2300 颜控福利 颜控福利 高颜值北欧风精装,1室,1厅,26平米,11/28层,环球翡翠湾花园,整租,东南,11号线,2290,pudong安居客
畅你所想，双周给你一个新家，蛋壳公寓双周保洁让你呼吸新鲜空气,1室,1厅,25平米,10/25层,晶波坊,整租,东南,6/12号线,2450,pudong安居客
陆家嘴东昌小区婚房出租 全新全套家具家电 温馨舒适,1室,1厅,34平米,11/21层,东昌小区,整租,东南,2/4/9号线,2920,pudong安居客
印象春城实拍 精装大两房可办居住证 交通便利 可随时看房,2室,2厅,95平米,15/18层,印象春城,整租,朝南,无,4200,pudong安居客
双地铁6/8号线，世华锦城，镶嵌有爱心的钢化玻璃艺术走廊,2室,2厅,96平米,7/18层,世华锦城,整租,南北,8号线,6900,pudong安居客
留学生看这里，中.介.费七折，豪装，环境超好，小区一房唯.一,1室,2厅,60平米,5/6层,爱法珑庭,整租,南北,4/6号线,10500,pudong安居客
世博上南花城小区房源 入住好礼 欧式装修 随时带看,3室,1厅,18平米,16/22层,上南花城,整租,东南,7/8/13号线,1220,pudong安居客
坐公交，在转地铁？不，住蛋壳，分就让到地铁口,3室,1厅,19平米,20/24层,品珍苑,合租,东南,6/11号线,1240,pudong安居客
超出租 家具家电齐全 楼层低 价位低 交通便利,1室,1厅,34平米,12/23层,海苑大厦,整租,东南,6/9号线,2580,pudong安居客
电梯一房，2、7号线交汇处，高区景观楼层，家具家电全配，有K,1室,1厅,55平米,10/18层,万邦都市花园,整租,南北,2/7/16/磁悬浮号线,6200,pudong安居客
合庆海湾新城精装大标间 舒适温馨的布局 好楼层,1室,1厅,29平米,25/29层,海湾新城,整租,东南,无,2530,pudong安居客
曹路民风南北通透 好格局 地段 急租,3室,1厅,21平米,14/27层,民风小区,合租,朝南,9号线,2030,pudong安居客
广洋新出，六号线包车位，采光好，看房随时联系我,3室,2厅,150平米,5/13层,广洋新景苑,整租,朝南,9号线,12000,pudong安居客
8号线地铁站 婚装两房 房东直租 品牌家电 大客厅 停车方便,2室,1厅,75平米,1/33层,士韵家园(二期),整租,南北,8号线,3900,pudong安居客
真/房源 实价不做格 财富海景6号楼2+1房出租 品质家,3室,2厅,251平米,35/37层,财富海景花园,整租,西南,2/9号线,35000,pudong安居客
浦东豪宅星河湾，4室豪华装修，高区楼层位置好,4室,2厅,245平米,13/14层,星河湾,整租,南北,7号线,35000,pudong安居客
单间带独立厨卫，民用水电，家电配齐，提包入住，光仟100兆,1室,1厅,20平米,14/30层,盛世南苑,整租,南北,8号线,1450,pudong安居客
秒租，11号线御桥站，精装修两房，电梯8楼，有钥匙随时看房，,2室,2厅,80平米,8/29层,锦绣华都,整租,南北,11/16号线,5000,pudong安居客
中邦城市急租，近地铁站，适合上班族精装全配，长租更优惠,3室,1厅,20平米,14/22层,中邦城市,整租,东南,无,1200,pudong安居客
世纪公园旁，精装全配！钥匙！,3室,2厅,145平米,6/16层,大唐盛世花园(一期),整租,南北,2/7/16/磁悬浮号线,13000,pudong安居客
世纪公园 六街坊小区 5室厅2卫 南,5室,0厅,14平米,6/9层,六街坊小区,合租,朝南,2/7/16/磁悬浮号线,3000,pudong安居客
专做康桥半岛《真实》《真实图片》《诚心出租》,3室,2厅,161平米,3/3层,康桥半岛,整租,东南,无,9000,pudong安居客
陆家嘴东昌小区交通便利 家电齐全 可整租可合租,3室,1厅,21平米,9/25层,东昌小区,合租,东南,2/4/9号线,1560,pudong安居客
4200精装全配，业主委托，7号，天池菜场，价格可谈，随时看,1室,2厅,50平米,6/11层,锦华花园,整租,朝南,7号线,4200,pudong安居客
中邦大都会豪装大三房出租，空调带地暖，家电齐全，看房随时急租,3室,2厅,135平米,12/18层,中邦城市,整租,东南,无,4800,pudong安居客
免中介直租+主卧朝南+11号线三林站交通便利 +民用水电,3室,1厅,20平米,3/10层,翠竹苑,合租,朝南,6/11号线,2000,pudong安居客
上海未来+房东自住+精装全配+直降500+靠地铁+可办居住证,3室,2厅,124平米,2/6层,黄山新城上海未来,整租,朝南,6号线,6800,pudong安居客
超出租 家具家电齐全 楼层低 价位低 交通便利,3室,1厅,18平米,15/27层,东昌小区,合租,东南,2/4/9号线,1200,pudong安居客
整租！可以长签！汇郡米兰苑！朝南90平大两房！看房有钥匙！,2室,2厅,90平米,0/17层,汇郡米兰苑,整租,朝南,6号线,4500,pudong安居客
免中介直租+主卧朝南+押一付一+民用水电+真图实价+双周保洁,3室,1厅,20平米,8/12层,大华锦绣华城十七街区(别墅),合租,朝南,无,2000,pudong安居客
证大家园，精装三房出租，照片实拍，拎包入住，看房有钥匙,3室,1厅,95平米,10/18层,证大家园(三期),整租,南北,6/12号线,6500,pudong安居客
名嘉新苑急租，近地铁站，适合上班族精装全配，长租更优惠,1室,1厅,26平米,22/28层,名嘉新苑,整租,东南,11号线,2180,pudong安居客
思浦小区精装修房2室，采光好，出租场出门就是8号线杨思站,2室,2厅,78平米,3/6层,思浦小区,整租,朝南,6/8/11号线,4200,pudong安居客
实拍的超高ins的小公寓，美美的小仙女就住蛋壳公寓吧,3室,1厅,18平米,11/29层,地杰国际城E欧泊时光,整租,东南,11号线,1490,pudong安居客
源深张杨小区蛋壳公寓  高颜值北欧风精装 温馨社区氛围,3室,1厅,45平米,12/22层,张杨小区,整租,朝南,2/4/6/9号线,3310,pudong安居客
居家装修大三房，近地铁，近万达，初次出租，随时看房，价格甜美,3室,2厅,120平米,3/6层,沪南路3468弄小区,整租,南北,无,5200,pudong安居客
地铁6号线，精装朝南一房，简约风格，绿化优美，可随时看房,1室,1厅,46平米,3/6层,永安新村,整租,南北,6号线,3800,pudong安居客
",拎包入住,全新家具,有钥匙,看房方便,豪华装修，房东人很好",3室,2厅,100平米,9/19层,浦发罗兰翡丽,整租,南北,2号线,5400,pudong安居客
"新出房源.精装全配,家电全新,拎包入住.地铁678号线",2室,1厅,63平米,3/6层,上南一村,整租,南北,6/7/8/13号线,3300,pudong安居客
蛋壳公寓给不一样的感受 来一起分享生活的点点滴滴,1室,1厅,28平米,10/25层,蔚蓝海岸天科苑,整租,东南,6号线,2480,pudong安居客
印象春城精装全配两房 带车位 干净温馨 实图实价 可随时拎包,2室,2厅,90平米,15/18层,印象春城,整租,朝南,无,4300,pudong安居客
《2号楼》《钥匙房》《钥匙房》《全屋壁纸+家具》,3室,2厅,337平米,33/37层,财富海景花园,整租,南北,2/9号线,50000,pudong安居客
12号线东陆路+真实价格图片+个人房源+无仲介费+押一付一,3室,1厅,12平米,2/6层,嘉屯苑,合租,朝南,6/12号线,1860,pudong安居客
陆家嘴仁恒滨江园带飘窗单间，整洁舒适，配套齐全，随时看房,3室,1厅,20平米,24/30层,仁恒滨江园(三期),合租,东南,2/9号线,1000,pudong安居客
塘桥贵龙园好房出租 入住好礼 素质舍友 优惠多多,3室,1厅,16平米,18/31层,贵龙园,整租,东南,4/6号线,1060,pudong安居客
